First Name,Last Name,Address 1,Address 2,State Abbreviation,Zip Code,Phone,Email
<<<<<<< HEAD
Michael, Duvenary,123 hard rd,,CA,90002,3231112222,mike@test.com
Easy,Buckets,200 Mulholland,,CA,91201,3230002222,easy@test.com
James,Jones,900 Goal St,,CA,90002,,Goal@test.com
Meal, Ticket,100 Hardwork Av,,CA,91203,,
=======
Andrew,Katz,123 Cool Rd,,VT,05452,8185551111,andrew@test.com
Trae,Robrock,5 Rad St,,CA,91361,4245550000,trae@test.com
Will,Suratt,7 Rad St,,CA,91361,,will@test.com
John,O'Brien,55 Water Ln,,VT,05452,,
>>>>>>> origin/main
,,,,,,,
